country,postcode,T12,T09,T10
CZ,46322,x,,
CZ,46323,x,,
CZ,46330,x,,
CZ,46601,x,,
CZ,46602,x,,
CZ,46660,x,,
CZ,47001,x,,
CZ,50001,x,,
CZ,50002,x,,
CZ,50003,x,,
CZ,50004,x,,
CZ,50005,x,,
CZ,50006,x,,
CZ,50007,x,,
CZ,50008,x,,
CZ,50009,x,,
CZ,50011,x,,
CZ,50012,x,,
CZ,50101,x,,
CZ,50102,x,,
CZ,50104,x,,
CZ,50200,x,,
CZ,50208,x,,
CZ,50301,x,,
CZ,50302,x,,
CZ,50303,x,,
CZ,50304,x,,
CZ,50305,x,,
CZ,50306,x,,
CZ,50311,x,,
CZ,50312,x,,
CZ,50313,x,,
CZ,50314,x,,
CZ,50315,x,,
CZ,50316,x,,
CZ,50321,x,,
CZ,50322,x,,
CZ,50323,x,,
CZ,50324,x,,
CZ,50325,x,,
CZ,50326,x,,
CZ,50327,x,,
CZ,50331,x,,
CZ,50332,x,,
CZ,50333,x,,
CZ,50341,x,,
CZ,50343,x,,
CZ,50344,x,,
CZ,50345,x,,
CZ,50346,x,,
CZ,50347,x,,
CZ,50351,x,,
CZ,51101,x,,
CZ,51102,x,,
CZ,51115,x,,
CZ,51116,x,,
CZ,51120,x,,
CZ,51123,x,,
CZ,51201,x,,
CZ,51202,x,,
CZ,51203,x,,
CZ,51204,x,,
CZ,51205,x,,
CZ,51206,x,,
CZ,51211,x,,
CZ,51212,x,,
CZ,51213,x,,
CZ,51236,x,,
CZ,51237,x,,
CZ,51238,x,,
CZ,51241,x,,
CZ,51242,x,,
CZ,51261,x,,
CZ,51301,x,,
CZ,51721,x,,
CZ,51722,x,,
CZ,51723,x,,
CZ,51724,x,,
CZ,51725,x,,
CZ,53001,x,,
CZ,53002,x,,
CZ,53003,x,,
CZ,53004,x,,
CZ,53005,x,,
CZ,53006,x,,
CZ,53007,x,,
CZ,53009,x,,
CZ,53012,x,,
CZ,53020,x,,
CZ,53026,x,,
CZ,53033,x,,
CZ,53035,x,,
CZ,53043,x,,
CZ,53078,x,,
CZ,53086,x,,
CZ,53088,x,,
CZ,53095,x,,
CZ,53096,x,,
CZ,53107,x,,
CZ,53111,x,,
CZ,53121,x,,
CZ,53125,x,,
CZ,53134,x,,
CZ,53141,x,,
CZ,53151,x,,
CZ,53154,x,,
CZ,53162,x,,
CZ,53165,x,,
CZ,53171,x,,
CZ,53175,x,,
CZ,53180,x,,
CZ,53181,x,,
CZ,53182,x,,
CZ,53183,x,,
CZ,53184,x,,
CZ,53188,x,,
CZ,53189,x,,
CZ,53190,x,,
CZ,53191,x,,
CZ,53192,x,,
CZ,53193,x,,
CZ,53194,x,,
CZ,53201,x,,
CZ,53202,x,,
CZ,53203,x,,
CZ,53205,x,,
CZ,53207,x,,
CZ,53208,x,,
CZ,53209,x,,
CZ,53210,x,,
CZ,53211,x,,
CZ,53212,x,,
CZ,53213,x,,
CZ,53214,x,,
CZ,53215,x,,
CZ,53217,x,,
CZ,53218,x,,
CZ,53219,x,,
CZ,53220,x,,
CZ,53225,x,,
CZ,53226,x,,
CZ,53227,x,,
CZ,53230,x,,
CZ,53231,x,,
CZ,53232,x,,
CZ,53233,x,,
CZ,53234,x,,
CZ,53235,x,,
CZ,53236,x,,
CZ,53281,x,,
CZ,53282,x,,
CZ,53301,x,,
CZ,53303,x,,
CZ,53304,x,,
CZ,53305,x,,
CZ,53313,x,,
CZ,53314,x,,
CZ,53315,x,,
CZ,53316,x,,
CZ,53321,x,,
CZ,53322,x,,
CZ,53331,x,,
CZ,53332,x,,
CZ,53333,x,,
CZ,53341,x,,
CZ,53342,x,,
CZ,53343,x,,
CZ,53344,x,,
CZ,53345,x,,
CZ,53351,x,,
CZ,53352,x,,
CZ,53353,x,,
CZ,53354,x,,
CZ,53361,x,,
CZ,53401,x,,
CZ,53420,x,,
CZ,53429,x,,
CZ,53430,x,,
CZ,53501,x,,
CZ,53516,x,,
CZ,53701,x,,
CZ,53703,x,,
CZ,53705,x,,
CZ,53716,x,,
CZ,53726,x,,
CZ,53727,x,,
CZ,53732,x,,
CZ,53734,x,,
CZ,53740,x,,
CZ,53746,x,,
CZ,53750,x,,
CZ,53759,x,,
CZ,53760,x,,
CZ,53783,x,,
CZ,53801,x,,
CZ,53802,x,,
CZ,53803,x,,
CZ,56001,x,,
CZ,56002,x,,
CZ,56003,x,,
CZ,56117,x,,
CZ,56118,x,,
CZ,56124,x,,
CZ,56125,x,,
CZ,56141,x,,
CZ,56301,x,,
CZ,56801,x,,
CZ,56802,x,,
CZ,56804,x,,
CZ,56811,x,,
CZ,56815,x,,
CZ,56816,x,,
CZ,56820,x,,
CZ,56823,x,,
CZ,56826,x,,
CZ,56887,x,,
CZ,56901,x,,
CZ,56902,x,,
CZ,56903,x,,
CZ,56904,x,,
CZ,56905,x,,
CZ,56906,x,,
CZ,56907,x,,
CZ,56911,x,,
CZ,56912,x,,
CZ,56914,x,,
CZ,56921,x,,
CZ,56922,x,,
CZ,56923,x,,
CZ,56924,x,,
CZ,56932,x,,
CZ,56933,x,,
CZ,56934,x,,
CZ,56935,x,,
CZ,56941,x,,
CZ,56942,x,,
CZ,56943,x,,
CZ,56944,x,,
CZ,56945,x,,
CZ,56946,x,,
CZ,56951,x,,
CZ,56953,x,,
CZ,56955,x,,
CZ,56956,x,,
CZ,56957,x,,
CZ,56961,x,,
CZ,56962,x,,
CZ,56963,x,,
CZ,56964,x,,
CZ,56965,x,,
CZ,56966,x,,
CZ,56967,x,,
CZ,56971,x,,
CZ,56972,x,,
CZ,56973,x,,
CZ,56974,x,,
CZ,56982,x,,
CZ,56983,x,,
CZ,56991,x,,
CZ,56992,x,,
CZ,56993,x,,
CZ,56994,x,,
CZ,56995,x,,
CZ,57001,x,,
CZ,57021,x,,
CZ,57031,x,,
CZ,57101,x,,
CZ,57111,x,,
CZ,57112,x,,
CZ,57201,x,,
CZ,57212,x,,
CZ,58001,x,,
CZ,58002,x,,
CZ,58003,x,,
CZ,58023,x,,
CZ,58042,x,,
CZ,58151,x,,
CZ,58601,x,,
CZ,58602,x,,
CZ,58603,x,,
CZ,58604,x,,
CZ,58623,x,,
CZ,58626,x,,
CZ,58634,x,,
CZ,58639,x,,
CZ,58652,x,,
CZ,58659,x,,
CZ,58707,x,,
CZ,58733,x,,
CZ,58741,x,,
CZ,58752,x,,
CZ,58801,x,,
CZ,58811,x,,
CZ,60010,x,,
CZ,60020,x,,
CZ,60030,x,,
CZ,60100,x,,
CZ,60126,x,,
CZ,60144,x,,
CZ,60151,x,,
CZ,60154,x,,
CZ,60165,x,,
CZ,60166,x,,
CZ,60179,x,,
CZ,60200,x,,
CZ,60300,x,,
CZ,60308,x,,
CZ,60316,x,,
CZ,60400,x,,
CZ,60500,x,,
CZ,60600,x,,
CZ,60700,x,,
CZ,60801,x,,
CZ,60804,x,,
CZ,60900,x,,
CZ,61000,x,,
CZ,61100,x,,
CZ,61132,x,,
CZ,61133,x,,
CZ,61135,x,,
CZ,61137,x,,
CZ,61138,x,,
CZ,61141,x,,
CZ,61142,x,,
CZ,61153,x,,
CZ,61156,x,,
CZ,61180,x,,
CZ,61200,x,,
CZ,61202,x,,
CZ,61242,x,,
CZ,61300,x,,
CZ,61400,x,,
CZ,61500,x,,
CZ,61600,x,,
CZ,61669,x,,
CZ,61700,x,,
CZ,61800,x,,
CZ,61900,x,,
CZ,62000,x,,
CZ,62100,x,,
CZ,62200,x,,
CZ,62300,x,,
CZ,62400,x,,
CZ,62500,x,,
CZ,62700,x,,
CZ,62800,x,,
CZ,62900,x,,
CZ,63000,x,,
CZ,63400,x,,
CZ,63483,x,,
CZ,63500,x,,
CZ,63600,x,,
CZ,63700,x,,
CZ,63800,x,,
CZ,63900,x,,
CZ,64100,x,,
CZ,64200,x,,
CZ,64300,x,,
CZ,64400,x,,
CZ,64500,x,,
CZ,64700,x,,
CZ,65502,x,,
CZ,65653,x,,
CZ,65666,x,,
CZ,65673,x,,
CZ,65730,x,,
CZ,65770,x,x,x
CZ,65869,x,,
CZ,66083,x,,
CZ,66250,x,,
CZ,66290,x,,
CZ,66302,x,,
CZ,66314,x,,
CZ,66317,x,,
CZ,66327,x,,
CZ,66336,x,,
CZ,66349,x,,
CZ,66358,x,,
CZ,66360,x,,
CZ,66371,x,,
CZ,66377,x,,
CZ,66387,x,,
CZ,66388,x,,
CZ,66389,x,,
CZ,66390,x,,
CZ,66401,x,,
CZ,66402,x,,
CZ,66403,x,,
CZ,66404,x,,
CZ,66405,x,,
CZ,66406,x,,
CZ,66407,x,,
CZ,66408,x,,
CZ,66431,x,,
CZ,66432,x,,
CZ,66434,x,,
CZ,66441,x,,
CZ,66442,x,,
CZ,66443,x,,
CZ,66444,x,,
CZ,66446,x,,
CZ,66447,x,,
CZ,66448,x,,
CZ,66449,x,,
CZ,66451,x,,
CZ,66452,x,,
CZ,66453,x,,
CZ,66454,x,,
CZ,66455,x,,
CZ,66456,x,,
CZ,66457,x,,
CZ,66458,x,,
CZ,66459,x,,
CZ,66461,x,,
CZ,66462,x,,
